RUN No.,Avg ROT ( °C),Catalyst,STM.(% of feed),Feed,Mass balance (%),Cat/Oil,Conversion (%),H2,C1,C2,C2=,C3,C3=,iC4,nC4,t2C4=,1C4=,iC4=,c2C4=,"1,3-BD",C4=(Liq.),Total Gas,Gasoline,LCO,HCO,Coke,H2-C2 (dry gas),C3-C4 (LPG),C2=-C4= (Light olefins),C3=+C4=,C4= (Butenes),C2=/C2,C3=/C3,C4=/C4,iC4=/C4=,iC4=/iC4,"Res Time based on exit cond, (second)"
2244-PP-040,599.8,CAT-8,7.874015748,Heavy Naphtha,98.26259878,57.0056486,24.35333048,0.078562785,1.001104822,1.291559033,3.547572533,1.609172938,9.199926856,1.131610885,0.82411665,1.481958044,0.962970434,2.126314813,1.041244745,0.057215942,0,24.35333048,75.07976168,0,0,0.566907844,5.918799173,18.43453131,18.41720337,14.86963083,5.669703978,2.942932127,5.989423748,3.006396805,0.375031011,1.87901587,1.531576122
2244-PP-034,600.4,CAT-8,8.048289738,Heavy Naphtha,102.4061378,31.52863396,14.53263425,0.047596977,0.71297796,0.914609442,2.076490048,0.729263428,5.605618706,0.440889732,0.357870407,0.947897914,0.618700868,1.38731237,0.654750092,0.038656305,0,14.53263425,85.20990954,0,0,0.257456213,3.751674428,10.78095982,11.3294263,9.252936256,3.64731755,2.432525472,8.052718268,4.735343193,0.380365118,3.146619824,1.54721552
2244-PP-037,600,CAT-8,6.756756757,Heavy Naphtha,98.47909752,44.3988202,18.84975505,0.059144849,0.782181724,1.028345491,2.614478806,1.059911711,7.384394091,0.737927944,0.562673843,1.186242666,0.803859119,1.752800957,0.834156088,0.043637758,0,18.84975505,80.75172297,0,0,0.398521984,4.48415087,14.36560418,14.61956949,12.00509068,4.620696588,2.724013785,7.29875123,3.684320248,0.379336951,2.375300964,1.550182679
2244-PP-040,599.8,CAT-8,7.874015748,Heavy Naphtha,98.26259878,57.0056486,24.35333048,0.078562785,1.001104822,1.291559033,3.547572533,1.609172938,9.199926856,1.131610885,0.82411665,1.481958044,0.962970434,2.126314813,1.041244745,0.057215942,0,24.35333048,75.07976168,0,0,0.566907844,5.918799173,18.43453131,18.41720337,14.86963083,5.669703978,2.942932127,5.989423748,3.006396805,0.375031011,1.87901587,1.531576122
2244-PP-033,624.4,CAT-8,7.936507937,Heavy Naphtha,100.996942,30.07455083,22.2718211,0.085388665,1.525001895,1.614080086,3.717144402,0.913966378,8.285365659,0.47724666,0.396466784,1.363291529,0.908488514,1.965545023,0.956445075,0.063390426,0,22.2718211,77.45078191,0,0,0.277396996,6.941615049,15.33020605,17.25967063,13.54252623,5.257160567,2.467445544,9.49696519,6.239883632,0.373879587,4.118509756,1.497211953
2244-PP-036,625.2,CAT-8,7.707129094,Heavy Naphtha,98.52152223,42.90798811,26.39677846,0.096267921,1.589483299,1.722944955,4.257960936,1.219950909,10.04224804,0.701295108,0.578527278,1.58277603,1.100276915,2.303601318,1.127017921,0.07442783,0,26.39677846,73.17005181,0,0,0.433169729,7.66665711,18.73012135,20.48830899,16.23034805,6.188100014,2.647850699,8.623666944,5.014202734,0.372263104,3.284781673,1.467722219
2244-PP-039,624.8,CAT-8,7.436399217,Heavy Naphtha,97.7593325,55.51950299,32.38838184,0.122562494,1.956129318,2.088117466,5.434057847,1.805349764,11.98497193,1.098162183,0.840957145,1.836332861,1.217877552,2.62034994,1.294190241,0.089323102,0,32.38838184,66.97809854,0,0,0.633519617,9.600867124,22.78751472,24.47710347,19.04304562,7.058073696,2.788255417,6.954710455,3.774643329,0.371255679,2.386122907,1.49816286
2244-PP-031,650.6,CAT-8,7.894736842,Heavy Naphtha,96.60447616,27.34077744,31.33855745,0.141022353,2.817368442,2.415060727,5.887673529,0.939570302,11.36352249,0.450760484,0.347857929,1.752434639,1.301713477,2.523989302,1.25493426,0.142649513,0,31.33855745,68.35836881,0,0,0.30307374,11.26112505,20.0774324,24.22691721,18.33924369,6.975721191,2.612034375,12.67030533,9.058244991,0.361824854,5.599402328,1.303602994
2244-PP-032,650,CAT-8,8.080808081,Heavy Naphtha,95.08709941,29.25062878,31.51316079,0.149175745,2.944863547,2.504195855,6.095893365,1.034469832,11.03420901,0.429159278,0.36452943,1.799575045,1.216356784,2.557350549,1.276281616,0.107100732,0,31.51316079,68.12392912,0,0,0.362910088,11.69412851,19.81903228,24.0867671,17.99087374,6.956664727,2.608148362,11.17446559,9.089607679,0.367611585,5.958977662,1.467847655
2244-PP-035,650.3,CAT-8,8.097165992,Heavy Naphtha,95.53944117,43.16339519,34.39439955,0.155661759,2.835518627,2.515162843,6.333476106,1.273055531,12.56906606,0.609432381,0.533109853,1.946283271,1.344085049,2.784280235,1.38164603,0.113621802,0,34.39439955,65.06956094,0,0,0.536039515,11.83981933,22.55458021,26.47245855,20.13898245,7.569916387,2.697983264,10.34329823,6.870891439,0.367808585,4.568645053,1.474064753
2244-PP-038,649.9,CAT-8,7.378640777,Heavy Naphtha,95.10242688,51.06699317,42.11391786,0.190545146,3.599433466,3.064508515,7.871557522,1.852287838,15.23984249,0.910450336,0.74191881,2.226810889,1.504093101,3.172708949,1.578100366,0.16166043,0,42.11391786,57.19997592,0,0,0.686106226,14.72604465,27.38787321,31.75477374,23.88321622,8.643373735,2.752092739,8.619367327,5.42463451,0.367068352,3.484768828,1.449991865
2244-PP-02,651.1,CAT-8,7.908611599,VGO2,82.12151138,24.10200795,78.97601906,0.143900604,3.911570303,2.641428725,6.049526721,1.177406866,15.0971007,0.52331665,0.275189257,2.840591584,2.095297238,4.182656953,2.053961962,0.268745414,0.68283015,41.94352313,35.26198437,11.78267063,9.241310301,1.087681412,12.74642635,29.19709678,33.27071073,27.22118401,12.1240833,2.453837089,13.43291832,15.74581142,0.344987481,7.992592924,1.315812351
2244-PP-016,650.4,CAT-8,7.880910683,VGO2,105.3373687,22.43356282,81.67712074,0.171473087,5.044308048,3.059775063,7.357238043,1.313099499,17.21029367,0.608464077,0.314723827,3.092587461,2.276101291,4.524447966,2.243774343,0.29191406,0.479959001,47.98815943,31.80670988,10.47466078,7.848218475,1.402292427,15.63279424,32.35536519,37.47631583,30.11907779,12.90878412,2.576253118,13.73074277,14.50071777,0.350493735,7.435850593,1.302392751
2244-PP-03,625.5,CAT-8,7.894736842,VGO2,101.5272511,22.00184529,83.25340467,0.098044167,2.533990061,1.794663349,4.929519537,1.321444083,20.05083241,1.31906613,0.492820787,3.936701265,2.874111669,5.972597053,2.900494518,0.175266036,0.831480157,49.23103122,32.49948398,9.396979265,7.349616064,0.691409317,9.356217113,39.87481411,41.67100265,36.74148311,16.6906507,2.942963136,15.89596883,9.552926724,0.357840875,4.527898122,1.351737888
2244-PP-04,600.2,CAT-8,7.936507937,VGO2,101.51084,20.18979395,82.87229601,0.066475706,1.620660094,1.209764666,4.011023543,1.332652459,19.94115038,1.844641712,0.600023332,4.059700246,2.918681463,6.243202304,2.997187696,0.110862374,0.981542596,47.93756857,33.28013099,9.50681868,7.620885308,0.67305386,6.907924009,41.02964456,41.2633506,37.25232706,17.31117668,3.552364642,15.6760518,7.343472847,0.36064575,3.384506739,1.395743681
2244-PP-11,599.9,CAT-8,7.155635063,VGO2,102.9145658,17.74361743,82.9032478,0.065541285,1.687218362,1.27033731,4.17500053,1.370149385,19.28146207,1.801193148,0.618129906,4.199679758,2.730336345,6.275970076,3.048237277,0.071159747,0.814740437,47.40915563,33.94306996,9.363116538,7.733635664,0.736281766,7.198097487,40.21105815,40.59658624,36.42158571,17.14012364,3.521281175,14.74264569,7.347072978,0.36615664,3.484340412,1.429467037
2244-PP-05,649.4,CAT-8,7.936507937,VGO2,104.466874,30.78443666,83.70377825,0.133386255,3.703210024,2.296659365,6.121227159,1.52973503,19.02480921,1.22045985,0.48709569,3.610659636,2.427642395,5.227043614,2.624540994,0.162421646,0.484424845,49.05331571,33.0141284,9.760735687,6.535486063,1.151909293,12.2544828,36.79883291,39.6827695,33.56154234,14.53673313,2.855651025,13.028892,8.828486275,0.359574849,4.282847661,1.30601522
2244-PP-06,625.4,CAT-8,7.908611599,VGO2,97.54130343,29.76340336,84.63218726,0.122933999,3.284176577,2.123468677,6.206825771,1.662240912,21.36478016,1.58381603,0.590796147,4.050014271,2.751367272,5.879982829,2.965867049,0.148671162,0.500837808,53.23577866,29.87656775,8.759013091,6.608799645,1.019003048,11.73740502,41.49837364,43.86834632,37.66152055,16.29674039,3.131748794,13.46504618,7.771649375,0.360807296,3.712541555,1.337836213
2244-PP-07,600.2,CAT-8,8.241758242,VGO2,105.677913,34.33568776,84.75163506,0.073148241,1.520507983,1.12927327,4.705107768,1.717884273,21.32610628,2.465652673,0.788740011,4.242835942,2.848254668,6.31400661,3.106853235,0.08046953,0.781360315,51.1002008,32.14357778,8.898825815,6.349539129,0.726496158,7.428037262,43.67216354,43.40499435,38.69988658,17.3737803,4.464098308,13.00532027,5.536287535,0.363421576,2.560785094,1.413642486
2244-PP-12,650.2,CAT-8,7.826086957,VGO2,95.61192231,40.24945513,86.04223549,0.154911768,4.195543642,2.509938092,7.257899093,1.886123411,20.84792909,1.47388232,0.573632914,3.688541667,2.515674286,5.359092696,2.675486056,0.169966432,0.439466751,53.74808822,29.92602064,8.590260341,5.367504166,1.928659881,14.1182926,39.62979563,42.95405607,35.69615698,14.84822789,3.098212056,11.5796705,7.520414008,0.360924734,3.636038388,1.304231872
2244-PP-13,625.1,CAT-8,7.55711775,VGO2,100.8011798,43.37572556,87.25817282,0.099771264,2.535617816,1.680378282,6.390587204,2.029322403,22.90000968,2.355245465,0.797227755,4.176837598,2.880823702,6.097306422,3.064985803,0.106357268,0.56468674,55.6791574,29.41207051,7.805148621,4.936678555,1.602258172,10.70635457,44.97280283,46.18159441,39.79100721,16.89099753,4.0747121,11.82191962,5.556459584,0.360979653,2.58881994,1.362298036
2244-PP-017,600.2,CAT-8,8.348794063,VGO2,97.55870836,47.04746192,87.10302477,0.109568923,2.87995319,1.874145661,6.562148706,1.862183046,22.06619317,2.377854898,0.750726956,3.998339247,2.891911941,5.930685276,2.935581054,0.178236868,0.555604749,54.97313368,29.89437651,7.99723585,4.899739377,1.679909834,11.42581648,43.5473172,45.11870101,38.5565523,16.49035913,3.751508625,12.41390546,5.46609102,0.35964561,2.49413254,1.429636251
2244-PP-04,600,CAT-8,7.936507937,VGO1,101.51084,20.18979395,82.87229601,0.066475706,1.620660094,1.209764666,4.011023543,1.332652459,19.94115038,1.844641712,0.600023332,4.059700246,2.918681463,6.243202304,2.997187696,0.110862374,0.981542596,47.93756857,33.28013099,9.50681868,7.620885308,0.67305386,6.907924009,41.02964456,41.2633506,37.25232706,17.31117668,3.552364642,15.6760518,7.343472847,0.36064575,3.384506739,1.395743681
2244-PP-11,599.9,CAT-8,7.155635063,VGO1,102.9145658,17.74361743,82.9032478,0.065541285,1.687218362,1.27033731,4.17500053,1.370149385,19.28146207,1.801193148,0.618129906,4.199679758,2.730336345,6.275970076,3.048237277,0.071159747,0.814740437,47.40915563,33.94306996,9.363116538,7.733635664,0.736281766,7.198097487,40.21105815,40.59658624,36.42158571,17.14012364,3.521281175,14.74264569,7.347072978,0.36615664,3.484340412,1.429467037
2244-PP-07,600.2,CAT-8,8.241758242,VGO1,105.677913,34.33568776,84.75163506,0.073148241,1.520507983,1.12927327,4.705107768,1.717884273,21.32610628,2.465652673,0.788740011,4.242835942,2.848254668,6.31400661,3.106853235,0.08046953,0.781360315,51.1002008,32.14357778,8.898825815,6.349539129,0.726496158,7.428037262,43.67216354,43.40499435,38.69988658,17.3737803,4.464098308,13.00532027,5.536287535,0.363421576,2.560785094,1.413642486
2244-PP-017,600.2,CAT-8,8.348794063,VGO1,97.55870836,47.04746192,87.10302477,0.109568923,2.87995319,1.874145661,6.562148706,1.862183046,22.06619317,2.377854898,0.750726956,3.998339247,2.891911941,5.930685276,2.935581054,0.178236868,0.555604749,54.97313368,29.89437651,7.99723585,4.899739377,1.679909834,11.42581648,43.5473172,45.11870101,38.5565523,16.49035913,3.751508625,12.41390546,5.46609102,0.35964561,2.49413254,1.429636251
2244-PP-03,625.5,CAT-8,7.894736842,VGO1,101.5272511,22.00184529,83.25340467,0.098044167,2.533990061,1.794663349,4.929519537,1.321444083,20.05083241,1.31906613,0.492820787,3.936701265,2.874111669,5.972597053,2.900494518,0.175266036,0.831480157,49.23103122,32.49948398,9.396979265,7.349616064,0.691409317,9.356217113,39.87481411,41.67100265,36.74148311,16.6906507,2.942963136,15.89596883,9.552926724,0.357840875,4.527898122,1.351737888
2244-PP-06,625.4,CAT-8,7.908611599,VGO1,97.54130343,29.76340336,84.63218726,0.122933999,3.284176577,2.123468677,6.206825771,1.662240912,21.36478016,1.58381603,0.590796147,4.050014271,2.751367272,5.879982829,2.965867049,0.148671162,0.500837808,53.23577866,29.87656775,8.759013091,6.608799645,1.019003048,11.73740502,41.49837364,43.86834632,37.66152055,16.29674039,3.131748794,13.46504618,7.771649375,0.360807296,3.712541555,1.337836213
2244-PP-13,625.1,CAT-8,7.55711775,VGO1,100.8011798,43.37572556,87.25817282,0.099771264,2.535617816,1.680378282,6.390587204,2.029322403,22.90000968,2.355245465,0.797227755,4.176837598,2.880823702,6.097306422,3.064985803,0.106357268,0.56468674,55.6791574,29.41207051,7.805148621,4.936678555,1.602258172,10.70635457,44.97280283,46.18159441,39.79100721,16.89099753,4.0747121,11.82191962,5.556459584,0.360979653,2.58881994,1.362298036
2244-PP-016,650.4,CAT-8,7.880910683,VGO1,105.3373687,22.43356282,81.67712074,0.171473087,5.044308048,3.059775063,7.357238043,1.313099499,17.21029367,0.608464077,0.314723827,3.092587461,2.276101291,4.524447966,2.243774343,0.29191406,0.479959001,47.98815943,31.80670988,10.47466078,7.848218475,1.402292427,15.63279424,32.35536519,37.47631583,30.11907779,12.90878412,2.576253118,13.73074277,14.50071777,0.350493735,7.435850593,1.302392751
2244-PP-05,649.4,CAT-8,7.936507937,VGO1,104.466874,30.78443666,83.70377825,0.133386255,3.703210024,2.296659365,6.121227159,1.52973503,19.02480921,1.22045985,0.48709569,3.610659636,2.427642395,5.227043614,2.624540994,0.162421646,0.484424845,49.05331571,33.0141284,9.760735687,6.535486063,1.151909293,12.2544828,36.79883291,39.6827695,33.56154234,14.53673313,2.855651025,13.028892,8.828486275,0.359574849,4.282847661,1.30601522
2244-PP-12,650.2,CAT-8,7.826086957,VGO1,95.61192231,40.24945513,86.04223549,0.154911768,4.195543642,2.509938092,7.257899093,1.886123411,20.84792909,1.47388232,0.573632914,3.688541667,2.515674286,5.359092696,2.675486056,0.169966432,0.439466751,53.74808822,29.92602064,8.590260341,5.367504166,1.928659881,14.1182926,39.62979563,42.95405607,35.69615698,14.84822789,3.098212056,11.5796705,7.520414008,0.360924734,3.636038388,1.304231872
2295-PP-02,562.2,CAT-3,24.79338843,VGO2,95.88451036,19.42545455,72.04736424,0.060465008,0.834497477,0.571790841,2.346747046,0.912456475,15.70529278,3.468044487,0.489885939,3.288267653,2.361666652,5.602090409,2.594287991,0.081279763,0,38.31677252,32.7168025,15.07681535,12.87582041,1.013789219,3.813500373,34.50327215,31.9796323,29.63288525,13.92759247,0.814724335,0.947456154,0.784695425,0.402229633,1.406288319,
2295-PP-01,561.6,CAT-3,24.63054187,VGO2,96.90089562,21.9,72.89441969,0.050015767,0.524219788,0.400116213,2.195620081,0.873053529,15.93360069,3.518990874,0.51267016,3.443389837,2.300398509,5.675852984,2.651163128,0.043661011,0,38.12275257,33.71220822,14.59531247,12.51026783,1.059458899,3.169971848,34.95278073,32.24368624,30.04806616,14.11446547,0.854638846,0.950296966,0.783827633,0.402130211,1.612920632,
2295-PP-03,563,CAT-3,23.62204724,VGO2,95.4776254,25.38062992,75.61524582,0.054987678,0.720208597,0.464233338,2.452667565,0.969776983,17.02731789,3.811793771,0.554617033,3.639738214,2.395971866,5.870023506,2.833063056,0.066611406,0,40.8610109,33.42657507,14.91894243,9.46581175,1.327659851,3.692097179,37.16891372,34.2853935,31.83272593,14.80540805,0.849864292,0.948437839,0.778361345,0.396478333,1.53996356,
2295-PP-06,561.9,CAT-4,24.75247525,VGO2,99.69851499,17.45049505,67.53740241,0.055033129,0.987224856,0.695588304,2.305604074,0.914773776,13.87374213,3.296595912,0.45472393,2.890047433,2.087319881,4.92577478,2.284997967,0.107651138,0,34.87907731,31.70497321,15.4330382,17.02955939,0.953351882,4.043450364,30.83562695,28.47513741,26.16953333,12.2957912,0.780285842,0.940788162,0.772457615,0.400606573,1.494200355,
2295-PP-05,562.23,CAT-4,24.27184466,VGO2,96.44487563,21.19093851,70.16604039,0.056101585,1.006391607,0.709092997,2.350366864,0.932533905,14.14309775,3.558408452,0.463552294,2.946157061,2.127844733,5.021407602,2.329360694,0.109741161,0,35.7540567,33.7160693,15.41518935,14.41877026,0.695914385,4.121953053,31.63210365,29.02797586,26.677609,12.53451125,0.780285842,0.940788162,0.76347158,0.400606573,1.411138623,
2295-PP-04,561.6,CAT-4,23.92344498,VGO2,96.0141381,25.45789474,76.75019272,0.049161903,0.659030274,0.440529294,2.421875142,1.009831155,16.31431467,4.304292262,0.596213448,3.481730551,2.339393185,5.575751046,2.736938811,0.057892462,0,39.9869542,35.46740041,13.90789826,9.341909021,1.295838102,3.570596614,36.41635759,32.92789587,30.50602073,14.19170606,0.854869228,0.944211361,0.749962187,0.392888003,1.295393228,
2295-PP-11,562.3,CAT-5,25.04173623,VGO2,95.58951133,17.17245409,69.33776234,0.038689996,0.605967102,0.436281113,2.018588845,0.874895837,14.06269274,3.780128575,0.50866936,2.986748752,2.162644596,4.962991321,2.367745478,0.049729633,0,34.85577335,33.30896794,15.85776031,14.80447734,1.173021057,3.099527056,31.75624629,28.61114136,26.59255252,12.52985978,0.832138553,0.943942952,0.751606626,0.396093125,1.312916009,
2295-PP-10,561.6,CAT-5,24.71169687,VGO2,98.10952829,20.50411862,72.18835558,0.040782766,0.584244094,0.4090061,2.100516177,0.943159953,15.0012625,4.084796928,0.549352501,3.124095173,2.265528597,5.184367499,2.504110229,0.055831326,0,36.84705384,33.82026099,15.27681876,12.53482565,1.521040754,3.134549137,33.7125047,30.2357115,28.13519532,13.13393282,0.846212821,0.943383572,0.745895104,0.394730776,1.269186104,
2295-PP-09,561.8,CAT-5,23.88535032,VGO2,96.36092259,26.42117834,74.28140527,0.053423531,1.027024998,0.635382696,3.079727287,1.221175389,17.30738756,4.120918204,0.608677411,3.321194306,2.478310472,5.565029225,2.641724715,0.122331183,0,42.18230698,31.05405764,14.64531089,11.07328384,1.045040654,4.795558512,37.38674846,34.51570475,31.43597746,14.1285899,0.838534159,0.936899045,0.755737756,0.393884263,1.350434284,
2295-PP-14,562.6,CAT-6,25,VGO2,97.69926716,19.22966667,74.43624632,0.075993636,1.52311185,0.951098033,2.459804486,0.738499333,14.57644212,2.890621351,0.349723961,3.354202663,2.548683426,5.596020813,2.665002301,0.239855111,0,37.96905908,35.54333081,13.81972154,11.74403214,0.923856429,5.010008005,32.95905108,31.44001092,28.98020643,14.40376431,0.734819249,0.953869906,0.821552441,0.388510996,1.935923157,
2295-PP-16,562.1,CAT-6,24.23263328,VGO2,95.60960051,27.69289176,76.38617473,0.075791108,1.495383996,0.877777683,2.52204306,0.83255289,16.31454448,3.132482271,0.403760421,3.540434713,2.72271754,5.971243204,2.821212977,0.215685469,0,40.92562981,34.11237162,13.77899999,9.834825275,1.348173296,4.970995848,35.95463396,34.10788144,31.58583838,15.2712939,0.754808421,0.953550893,0.817276202,0.391010954,1.906233679,
2295-PP-13,562.4,CAT-6,25.29510961,VGO2,95.71475474,28.68229342,78.16948353,0.077636657,1.449167514,0.831881869,2.550372072,0.849414867,17.05467501,3.176284671,0.436203248,3.78593955,2.871590557,6.29354391,3.031023618,0.257454045,0,42.66518759,34.21357123,11.35186856,10.4786479,1.290724713,4.909058111,37.75612947,35.84459876,33.29422669,16.23955168,0.766615303,0.954616104,0.823194805,0.387544191,1.981416832,
2295-PP-15,563.6,CAT-6,33.89830508,VGO2,95.01466004,36.78008475,79.79749759,0.066882002,1.124904726,0.63099637,2.375309547,0.765860893,17.58273224,3.225730999,0.460020242,4.162593415,3.056367176,6.67942978,3.329981448,0.186857422,0,43.64766626,34.36653454,12.07610256,8.126399845,1.783296787,4.198092644,39.44957362,37.37327103,34.99796148,17.41522924,0.80132174,0.960082027,0.83032918,0.383539584,2.070671665,